"","Nasdaq","SPX","DAX","StoxxEurope","HSCE","Nikkei"
"2003-01-01",66.67,1261.18,2892.63,521.95,2306.67,10515.49
"2003-01-02",68.33,1303.17,3105.04,551.78,2326.48,10515.49
"2003-01-03",68.33,1302.55,3092.94,547.4,2363.64,10515.49
"2003-01-06",69.33,1331.82,3157.25,553.45,2372.97,10680.2
"2003-01-07",68.67,1323.17,3112.77,547.99,2392.23,10610.54
"2003-01-08",68,NA,2993,535.93,2420.24,10440.53
"2003-01-09",63.33,NA,3037.68,545.21,2463.09,10416.17
"2003-01-10",61.67,1330.29,3037.33,544.64,2490.89,10382.49
"2003-01-13",66.73,1328.5,3060.65,546.53,2531.28,10382.49
"2003-01-14",61.33,NA,3098.72,549.11,2514.05,NA
"2003-01-15",NA,1317.18,3049.4,542.61,2482.7,10555.69
"2003-01-16",65,1312.01,3054.11,541.55,2485.67,10552.53
"2003-01-17",63.33,1293.63,2918.82,523.06,2465.33,10651.91
"2003-01-20",63.33,1293.63,NA,514.84,2465.38,10490.81
"2003-01-21",63.33,1273.31,2870.57,509.18,2504,10674.38
"2003-01-22",62.33,1260.16,2803.25,498.58,2497.94,10554.82
"2003-01-23",61.67,1273.04,2811.22,496.57,2477.1,10775.3
"2003-01-24",61.33,1235.84,2717.82,489.4,2474.55,10702.65
"2003-01-27",61.93,1215.86,2643.8,471.87,2458.57,10552.89
"2003-01-28",NA,1231.74,2671.36,473.03,2465.69,10451.67
"2003-01-29",60.73,1240.31,2706.57,NA,2490.26,10213.46
"2003-01-30",60.67,1212.23,2693.78,490.2,2505.04,10195.97
"2003-01-31",60.67,1228.14,2747.83,492.38,2505.04,10224.33
"2003-02-03",NA,1234.78,2751.99,497.49,2505.04,10421.52
"2003-02-04",61.33,1217.4,2632.98,478.56,2542.7,10402.04
"2003-02-05",60.67,1211.04,2725.88,487.57,2610.39,10481.67
"2003-02-06",60.53,1203.58,2649,475.39,2612.68,10401.17
"2003-02-07",61.27,1191.46,2569.34,467.44,2598.54,NA
"2003-02-10",60,1200.51,2586.09,465.72,2559.74,10402.08
"2003-02-11",54,1190.83,2627,479.86,2545.46,10402.08
"2003-02-12",NA,1176.15,2571.25,468.1,2598.21,10621.82
"2003-02-13",53.33,1174.43,2555.27,465.28,2568.32,10542.73
"2003-02-14",53.33,1199.61,2674.46,481.98,2527.2,10668.1
"2003-02-17",53.33,1199.61,2708.97,490.82,2527.11,10755.07
"2003-02-18",53.33,NA,2740.14,499.7,2541.56,10658.31
"2003-02-19",54,1214.66,2624.65,483.78,2541.52,NA
"2003-02-20",53,1203.18,2591.26,476.24,NA,10606.76
"2003-02-21",53,1219.1,2648.87,483.8,2531.83,10438.32
"2003-02-24",53.33,NA,2571.35,473.36,2535.48,10501.35
"2003-02-25",51.67,1205.32,2485.5,455.99,2555.42,10252.9
"2003-02-26",51.8,1189.98,2450.2,451.09,2541.23,10248.39
"2003-02-27",52.67,1204.11,2513.22,461.05,2533.21,10251.54
"2003-02-28",51.67,1209.71,2547.05,469.01,2546.56,10256.03
"2003-03-03",51.67,1200.6,2549.65,469.37,2562.29,NA
"2003-03-04",52,1182.17,2501.03,458.56,2527.83,10399.74
"2003-03-05",52,1193.87,2498.02,455.83,2480.19,10390.42
"2003-03-06",52.67,1182.82,2437.51,447.67,2416.46,10263.53
"2003-03-07",51.47,1192.62,2431.66,436.52,2399.27,9987.56
"2003-03-10",51.47,1161.85,2329.04,424.24,2396.61,9862.64
"2003-03-11",46,1152.15,2305.3,423.79,NA,9642.11
"2003-03-12",46,1157.61,2202.96,405.23,NA,NA
"2003-03-13",46.67,1197.56,2354.31,432.68,2446.41,9649.63
"2003-03-14",46.67,1199.55,NA,455.64,2477.25,9814.12
"2003-03-17",46.67,1242.09,2487.12,472.79,2461.91,9653.41
"2003-03-18",48,1247.39,2584.61,471.88,2476,9754.98
"2003-03-19",47.93,1258.37,2615.22,479.18,2475.25,9873.42
"2003-03-20",47.67,1260.77,2604.85,472.55,2480.82,10050.03
"2003-03-21",46.67,1289.74,2715.06,492.75,2489.5,10050.03
"2003-03-24",46.33,1244.31,2548.37,465.51,2494.94,10344.38
"2003-03-25",46.67,1259.44,2636.1,478.7,2498.95,10103.63
